"Probe Name","liver conv 1","liver conv 2","liver conv 3","liver conv 4","liver cef 1","liver cef 2","liver cef 3","liver cef 4","liver cdi 1","liver cdi 2","liver cdi 3","liver cdi 4","ileum conv 1","ileum conv 2","ileum conv 3","ileum conv 4","ileum cef 1","ileum cef 2","ileum cef 3","ileum cef 4","ileum cdi 1","ileum cdi 2","ileum cdi 3","ileum cdi 4","cecum conv 1","cecum conv 2","cecum conv 3","cecum conv 4","cecum cef 1","cecum cef 2","cecum cef 3","cecum cef 4","cecum cdi 1","cecum cdi 2","cecum cdi 3","cecum cdi 4"
"ABCC2",8975.97,7621.18,8246.25,7645.19,8655.3,8861.63,7873.65,7558.01,9466.79,8809.31,8007.08,6232.05,2580.17,2469.07,3584.55,3381.11,1121.18,1347.51,2381.77,4808.68,2364.68,2526.36,1890.12,2687.84,1,6.75,14.91,2.15,444.1,1,3.86,4.3,4.82,2,1,1.46
"Abca1",3529.58,2325,3019.86,2812.93,3117.14,2995.65,3059.39,3129.78,2806.08,3381.3,3685.02,4493.72,958.21,735,682.39,1015.6,214.08,326.07,572.61,498.89,883.87,733.79,459.36,655.7,732.21,260.59,282.73,319.61,224.53,396.79,275.45,247.63,160.32,239.56,282.5,168.42
"Abcb11",6937.55,6832.47,6993.46,7409.61,8835.24,8283.96,7761.43,8065.22,9128.83,6949.53,6216.17,4662.96,14.24,12.25,8.91,10.04,18.03,4.18,15.19,37.56,19.31,16.58,3.41,21.9,10.72,2.64,9.54,15.22,9.72,7.92,3.32,4.3,11.77,4.62,8.1,6.15
"Acaa2",17690.98,16925.1,17346.33,16602.95,16186.12,16853.32,15783.31,15153.02,18701.36,18612.76,14506.88,12759.85,2161.08,1569.26,2408.65,1669.54,2065.33,2308.11,2144.82,4391.82,1603.5,1373.54,2208.27,1787.34,1299.94,2371.4,2336.62,2154.4,1810.64,1781.26,1889.76,2158.11,879.03,786.51,975.32,976.83
"Acaca",1608.62,1498.16,1540.33,2052.22,2226.33,1767.59,1970.85,2160.28,2468.12,1443.54,1397.43,1558.63,388,725.63,534.47,615.57,1274.31,1578.15,960.08,428.85,1263.95,580.69,1722.72,732.05,473.32,602.7,555.93,578.26,1067.13,436.16,554.12,619.67,377.27,479.73,380.8,378.72
"Acacb",1509.08,1612.56,1632.56,2277.01,1979.75,1297.98,962.74,1677.41,1286.38,1083.51,938.96,760.79,54.54,78.65,58.49,63.92,112.65,127.53,61.81,36.45,99.38,39.36,209.65,84.66,160.54,235.28,257.65,217.84,123.86,138.22,230.28,167.95,105.28,107.4,122.7,117.45
"Acad9",901.94,964.33,977.34,944.41,902.33,880.32,929.08,872.62,890.23,918.4,829.12,922.77,530.05,508.55,518.77,560.77,519.37,593.05,490.06,520.01,532.17,498.67,539.83,438.16,635.62,748.44,689.39,722.05,611.35,706.26,725.02,687.71,806.9,755.57,696.72,734.89
"Acox2",5792.94,5694.56,5779.09,5629.2,5825.13,5800.84,5490.83,5456.19,4679.4,5417.67,5535.62,3342.89,194.57,139.94,158.48,117.81,308.69,212.86,100.65,185.41,154.11,149.63,342.83,232.12,75.12,87.49,94.63,73.11,203.13,62.89,61.01,72.94,136.81,88.53,135.31,99.29
"Acsl4",1244.33,1249.31,1234.81,1264.52,1359.95,1248.11,1473.34,1321.8,1131.95,1184.41,1151.48,910.68,66.63,130.58,128.73,93.15,103.87,186.67,122.99,127.6,103.43,94.04,133.82,130.68,218.36,212.7,191.37,185.16,179.35,165.37,186.19,206.56,177.95,183.44,206.8,211.18
"Acsm3",2534.26,2371.16,2276.25,2172.71,2486.24,2891.75,2462.75,2010.56,2602.41,3030.44,2686.88,1943.04,162.34,231.03,126.26,243.85,223.84,424.92,172.51,88.7,175.39,227.1,324.34,150.55,149.37,218.17,234.36,267.33,299.04,126.69,130.68,107.88,83.91,102.68,142.15,113.35
